N	wl_v2inv	wl_v2inv_err	uf_v2inv	uf_v2inv_err
98	2.4612671706690383	0.0031228386264778364	nan	nan
99	2.489457683028901	0.0031410139841071757	nan	nan
100	2.515368598482971	0.0031810889534083387	2.520775	0.0063185215784628025
101	2.544034476797313	0.0031686507516660942	nan	nan
102	2.568067993980214	0.003198469181707868	nan	nan
103	2.5951204102869037	0.0032203982926150244	nan	nan
104	2.626468611539802	0.0032384365424907116	nan	nan
105	2.642351660315732	0.0032185196230876947	nan	nan
106	2.672924656686874	0.0032559088844166333	nan	nan
107	2.7052279970581026	0.003265419527499454	nan	nan
108	2.7237485863204998	0.003270517432275647	nan	nan
109	2.749728750030824	0.003303063636777188	nan	nan
110	2.778437399300994	0.003341855667959742	nan	nan
111	2.8023733939909015	0.003362571972451196	nan	nan
112	2.830221428748543	0.0033598103127383963	nan	nan
113	2.865537997557389	0.0033997011141711224	nan	nan
114	2.889076646796199	0.0034120458509212	nan	nan
115	2.914293131582851	0.0033926215966031048	nan	nan
116	2.9380887872536103	0.0034220063673495566	nan	nan
117	2.9646336638559876	0.0034233676342455403	nan	nan
118	2.9934949328950973	0.0034735403308574424	nan	nan
119	3.020176513238493	0.0034963173715565924	nan	nan
120	3.054289359785845	0.0034940803303317013	nan	nan
121	3.0701736923306626	0.00349730367394762	nan	nan
122	3.1051886909028	0.0035218424036319927	nan	nan
123	3.1327055006563143	0.003536138178769689	nan	nan
124	3.155311405361091	0.003568593535372212	nan	nan
125	3.1842687688061075	0.0035626610888078126	nan	nan
126	3.209486895533407	0.0035692108964010443	nan	nan
127	3.238202429351757	0.0036054509686536877	nan	nan
128	3.265712654520181	0.0036103373746480157	nan	nan
129	3.289446504566835	0.0036343977706433605	nan	nan
130	3.3140584480351087	0.0036613059414993183	nan	nan
131	3.342217830698419	0.003665513122503151	nan	nan
132	3.3731301351047622	0.0036820928950680024	nan	nan
133	3.399463874135685	0.003698171670654455	nan	nan
134	3.4237669003505258	0.0037130537148811166	nan	nan
135	3.452240654556373	0.003737364409808965	nan	nan
136	3.471089719390965	0.003771660929664051	nan	nan
137	3.5070999899558055	0.0037525418298235557	nan	nan
138	3.5228847074233607	0.003799446109903532	nan	nan
139	3.5580942571471637	0.0038127748307480477	nan	nan
140	3.5794943177484555	0.003808811370398824	nan	nan
141	3.6085864367114366	0.0038326791538737938	nan	nan
142	3.6343719819041325	0.0038553755593806597	nan	nan
143	3.65574782126845	0.003870664903893496	nan	nan
144	3.676359564134182	0.0038596754746474337	nan	nan
145	3.7106578218619406	0.003881801433462833	nan	nan
146	3.738895202020202	0.0038949148319295896	nan	nan
147	3.768233860526516	0.003935315646285713	nan	nan
148	3.80128623415736	0.003936115840766462	nan	nan
149	3.8234554325294505	0.003949900955712167	nan	nan
150	3.8440900349207956	0.0039630159254080526	nan	nan
151	3.8752881570614313	0.00397083580815061	nan	nan
152	3.9079690241855496	0.004023529366886583	nan	nan
153	3.9261252694307087	0.003972349416436657	nan	nan
154	3.953491605987055	0.004048748663473106	nan	nan
155	3.975381379555015	0.004034693983165447	nan	nan
156	4.002065337484933	0.004037014787530937	nan	nan
157	4.030175447416046	0.004051029032957636	nan	nan
158	4.063062549124008	0.004053211309725036	nan	nan
159	4.085200516481847	0.004076251399759356	nan	nan
160	4.117909843326837	0.004121143820094993	nan	nan
161	4.135365701447828	0.00408906238330407	nan	nan
162	4.166238710819904	0.0041263410587311315	nan	nan
163	4.197761855330785	0.004129111032276412	nan	nan
164	4.2193907217798	0.004154403340042398	nan	nan
165	4.242664058331851	0.004154057489271351	nan	nan
166	4.272992407100116	0.004150007736817789	nan	nan
167	4.297853252570498	0.00422404730877042	nan	nan
168	4.325255360032362	0.00419262550782019	nan	nan
169	4.355077379157874	0.004201365916237918	nan	nan
