N	wl_1gons	wl_1gons_err	am_1gons	am_1gons_err	uf_1gons	uf_1gons_err	wl_2gons	wl_2gons_err	am_2gons	am_2gons_err	uf_2gons	uf_2gons_err	wl_3gons	wl_3gons_err	am_3gons	am_3gons_err	uf_3gons	uf_3gons_err	wl_4gons	wl_4gons_err	am_4gons	am_4gons_err	uf_4gons	uf_4gons_err	wl_5gons	wl_5gons_err	am_5gons	am_5gons_err	uf_5gons	uf_5gons_err	wl_6gons	wl_6gons_err	am_6gons	am_6gons_err	uf_6gons	uf_6gons_err	wl_7gons	wl_7gons_err	am_7gons	am_7gons_err	uf_7gons	uf_7gons_err	wl_8gons	wl_8gons_err	am_8gons	am_8gons_err	uf_8gons	uf_8gons_err	wl_9gons	wl_9gons_err	am_9gons	am_9gons_err	uf_9gons	uf_9gons_err	wl_maxfv	wl_maxfv_err	am_maxfv	am_maxfv_err	uf_maxfv	uf_maxfv_err
21	8.389049350131966	0.0097069714393357	nan	nan	nan	nan	3.293137791942632	0.007982263555493077	nan	nan	nan	nan	2.9107863154225386	0.00776651599392697	nan	nan	nan	nan	1.945595338877546	0.006741565003979479	nan	nan	nan	nan	1.5488023504805537	0.005975738228263656	nan	nan	nan	nan	1.1599521936158559	0.005154334308254449	nan	nan	nan	nan	0.8930083163189084	0.004543209963194167	nan	nan	nan	nan	0.6787759573726408	0.003932087884887556	nan	nan	nan	nan	0.5249987550420796	0.0034925808397321245	nan	nan	nan	nan	13.916338827747623	0.018131048415329528	nan	nan	nan	nan
22	8.73378180039139	0.009854197773277432	nan	nan	nan	nan	3.442710371819961	0.00804366241462983	nan	nan	nan	nan	3.025978473581213	0.007851694586107833	nan	nan	nan	nan	2.0349315068493152	0.00681744568015778	nan	nan	nan	nan	1.6209148727984344	0.006064381491504235	nan	nan	nan	nan	1.196550880626223	0.005227839855625196	nan	nan	nan	nan	0.9379647749510763	0.00463335128617761	nan	nan	nan	nan	0.7068982387475539	0.004026633876954739	nan	nan	nan	nan	0.5569227005870842	0.003542792340459124	nan	nan	nan	nan	14.16609589041096	0.01830955549185874	nan	nan	nan	nan
23	9.087185836325368	0.01010603824077518	nan	nan	nan	nan	3.576724031199703	0.008250672829895212	nan	nan	nan	nan	3.1484957286121085	0.008087271429198318	nan	nan	nan	nan	2.111006561842268	0.0070083553803223595	nan	nan	nan	nan	1.683248730964467	0.006196264059028986	nan	nan	nan	nan	1.2612356072799307	0.005413580676053973	nan	nan	nan	nan	0.9744211959886097	0.004768185635603827	nan	nan	nan	nan	0.741958648012876	0.004141788004319164	nan	nan	nan	nan	0.5770706945648136	0.003619641713876685	nan	nan	nan	nan	14.372390739135819	0.0188892848545392	nan	nan	nan	nan
24	9.413904667819214	0.01024603286226513	nan	nan	nan	nan	3.7228204494937023	0.008411875760003025	nan	nan	nan	nan	3.2874536922696964	0.008213800885682772	nan	nan	nan	nan	2.1944677698197084	0.007122926224116923	nan	nan	nan	nan	1.756384292417881	0.006345322743608054	nan	nan	nan	nan	1.3075080266732526	0.005495626177046983	nan	nan	nan	nan	1.0066683131637442	0.004774868464672017	nan	nan	nan	nan	0.7776981970857002	0.004229835876513939	nan	nan	nan	nan	0.6010125957026426	0.0037016006877114574	nan	nan	nan	nan	14.560237095579156	0.018871952838302425	nan	nan	nan	nan
25	9.766226731015463	0.010473387680461936	9.1853	0.021078813794898444	9.8076	0.02112009053010899	3.8784841918644735	0.008534556863422933	4.5676	0.019408323575208653	3.8247	0.01721966872503649	3.398946124298237	0.008379303448815772	3.3609	0.016756644025579824	3.4042	0.016718320370180735	2.2727518959913326	0.00727381919984186	2.3698	0.014654173330488483	2.2733	0.014684029113291761	1.8111888111888113	0.00645543825900966	1.7633	0.012790125527140065	1.8046	0.012912857313546062	1.3626514330739683	0.0055799201148090056	1.3254	0.010991427750751948	1.3644	0.011448199159693195	1.0587264847828228	0.00493037054398887	1.0204	0.009681858499275848	1.07	0.009975469913743411	0.7994681374963065	0.004275868515577079	0.8061	0.008664310647708794	0.7984	0.008638040518543543	0.6242489904461735	0.0037679258219381123	0.5964	0.0074330817296730965	0.6305	0.007665309843704951	14.778710725893825	0.019151427628862166	14.9026	0.03868244206355129	14.7937	0.038864045479080046
26	10.117752953071442	0.010667647737087149	nan	nan	nan	nan	4.001454957954181	0.008669944156044619	nan	nan	nan	nan	3.535424527138665	0.008511516184081958	nan	nan	nan	nan	2.3592513131612045	0.007367053948841652	nan	nan	nan	nan	1.8872284283988063	0.006508886126777714	nan	nan	nan	nan	1.401962960222929	0.005672299050452205	nan	nan	nan	nan	1.0960518852802643	0.005049818468084602	nan	nan	nan	nan	0.8352445069172154	0.004365240864244153	nan	nan	nan	nan	0.645434144657345	0.0038459048824240716	nan	nan	nan	nan	14.987669847845922	0.019484571870473373	nan	nan	nan	nan
27	10.461148105057307	0.010868589063939388	nan	nan	nan	nan	4.132955417481496	0.008849343215494078	nan	nan	nan	nan	3.6610639403916134	0.008733653217320362	nan	nan	nan	nan	2.4509988365472686	0.0075495482646287795	nan	nan	nan	nan	1.9512092482115009	0.00668021800492728	nan	nan	nan	nan	1.453053444562715	0.005818380963636642	nan	nan	nan	nan	1.1356041290194816	0.0050886319637396624	nan	nan	nan	nan	0.8688268930861203	0.004465661246304304	nan	nan	nan	nan	0.6728717479020719	0.003933521951829496	nan	nan	nan	nan	15.144688962051637	0.01954351545735118	nan	nan	nan	nan
28	10.828588897040841	0.011009579809184069	nan	nan	nan	nan	4.264416727806309	0.00896576961276582	nan	nan	nan	nan	3.7783565663976524	0.008827048371729162	nan	nan	nan	nan	2.530887747615554	0.00758484478227831	nan	nan	nan	nan	2.0204940083149916	0.006726864636359163	nan	nan	nan	nan	1.4947909024211299	0.005812339278540924	nan	nan	nan	nan	1.1813157251161652	0.005215335553470793	nan	nan	nan	nan	0.897505502567865	0.0045135101884739666	nan	nan	nan	nan	0.6936903888481292	0.00395266516792179	nan	nan	nan	nan	15.325629738322329	0.01962910097822791	nan	nan	nan	nan
29	11.172327380662741	0.011132231926122471	nan	nan	nan	nan	4.417960196584108	0.009092769254592946	nan	nan	nan	nan	3.8931925453749208	0.008939146856296114	nan	nan	nan	nan	2.6164663520023357	0.007682258683582785	nan	nan	nan	nan	2.0759330446206996	0.006784022508034746	nan	nan	nan	nan	1.5588049243345823	0.005947278025929569	nan	nan	nan	nan	1.2122524451364898	0.005223602539304366	nan	nan	nan	nan	0.9303926816213323	0.004582639697240858	nan	nan	nan	nan	0.71658313464065	0.004035175460906339	nan	nan	nan	nan	15.520047686243979	0.019823881828351014	nan	nan	nan	nan
30	11.515733792594416	0.011474391910261608	10.8395	0.022701409097234518	11.5315	0.022946476309011015	4.563045885102719	0.0093803890032654	5.4154	0.021102707977887582	4.5536	0.018416099044042948	4.027850904170255	0.00916188571749672	3.9284	0.018161149302838738	4.0128	0.018329855864135967	2.6947472013777833	0.007890393630568041	2.7786	0.015943594450436832	2.6772	0.016061756317414355	2.1470291548775986	0.006960828540071464	2.1283	0.013911287179840694	2.1658	0.014188412032359368	1.5991142821995326	0.0060802430657532205	1.559	0.012056197576350514	1.6079	0.01229942108393724	1.2507073440767622	0.0053695643796140245	1.2251	0.010666911408650583	1.2546	0.010745133037799021	0.9555418870709804	0.0046616977718554565	0.9284	0.009277248730092343	0.9617	0.00947223896446875	0.7475950301390085	0.004140780962390357	0.7193	0.008150506180600073	0.7297	0.008209981181464425	15.699323410013532	0.020242086088133715	15.8456	0.04084624908115801	15.7122	0.0411465322475662
31	11.881357604459573	0.0116356959471975	nan	nan	nan	nan	4.6872625918800255	0.009491095572430152	nan	nan	nan	nan	4.153914459079473	0.009271563176907346	nan	nan	nan	nan	2.770558926545311	0.007991093313113885	nan	nan	nan	nan	2.209190469143111	0.007124989113596616	nan	nan	nan	nan	1.6542104484238567	0.0061300974203459735	nan	nan	nan	nan	1.2851857333136008	0.005436702594348023	nan	nan	nan	nan	0.9961768043017118	0.004757900675098274	nan	nan	nan	nan	0.7709289132257905	0.0042229381236401605	nan	nan	nan	nan	15.875117162448818	0.020502599989170908	nan	nan	nan	nan
32	12.228510098546199	0.011617582543762123	nan	nan	nan	nan	4.835837642696848	0.009516974839408244	nan	nan	nan	nan	4.261513318372524	0.009295648221211154	nan	nan	nan	nan	2.857864181871402	0.008082199620732412	nan	nan	nan	nan	2.2839301395258076	0.007153198888572235	nan	nan	nan	nan	1.6972143623768172	0.006215790081128978	nan	nan	nan	nan	1.3267879793150552	0.005483135260196586	nan	nan	nan	nan	1.0214167235827885	0.004806473256541635	nan	nan	nan	nan	0.7984925358571568	0.004230017619535647	nan	nan	nan	nan	15.999146258171528	0.020279924780667726	nan	nan	nan	nan
33	12.579282634261075	0.011868706228888326	nan	nan	nan	nan	4.991522932183457	0.009648756603706026	nan	nan	nan	nan	4.373774990199921	0.009505119000975566	nan	nan	nan	nan	2.941983535868287	0.008218514589717844	nan	nan	nan	nan	2.337245197961584	0.00730298281173601	nan	nan	nan	nan	1.7479174833398667	0.0063499159256428335	nan	nan	nan	nan	1.372329478635829	0.0055639027521489975	nan	nan	nan	nan	1.0487798902391219	0.004865733944358635	nan	nan	nan	nan	0.8206340650725206	0.004344476970845811	nan	nan	nan	nan	16.149622696981577	0.020622839029189956	nan	nan	nan	nan
34	12.923752876095364	0.012042523475216595	nan	nan	nan	nan	5.114285014931219	0.009829116294192168	nan	nan	nan	nan	4.511357517011798	0.009682299233530181	nan	nan	nan	nan	3.0306457140059724	0.008331083691688605	nan	nan	nan	nan	2.418343369070348	0.007389384021149372	nan	nan	nan	nan	1.7922112889802713	0.006398727707000006	nan	nan	nan	nan	1.4105595535320898	0.0056848052475665335	nan	nan	nan	nan	1.0861604738826063	0.004959844865282547	nan	nan	nan	nan	0.8397464140598228	0.004372614601799108	nan	nan	nan	nan	16.31233171782445	0.020742644407384596	nan	nan	nan	nan
35	13.262270990496718	0.012244773128177166	12.5036	0.02448547945211604	13.2935	0.024681081317478766	5.273831684138337	0.009965325361993717	6.2933	0.022900819002821704	5.2556	0.02014564131518279	4.625379641422553	0.009733775736051114	4.5624	0.019634933766122048	4.6069	0.01950428770809125	3.1186685607916136	0.008447422379232156	3.1813	0.017243637406301495	3.0884	0.017076842331063432	2.489027138238464	0.007503979128429854	2.3859	0.014872058330977595	2.4922	0.01513650937303578	1.8520133241892818	0.006484765676487765	1.7956	0.012949210941211821	1.8603	0.013184020289729531	1.44792789262271	0.005768310652402585	1.3773	0.011332893319889674	1.4529	0.011765124691221934	1.1014009993141962	0.005035571536639005	1.0827	0.010119588479775253	1.1222	0.010466456707023633	0.8624963260507494	0.004426938908596868	0.8408	0.008899749209949683	0.8627	0.009014703045580592	16.507200940531007	0.02105977278301397	16.695	0.042999970930222745	16.4685	0.04292529295182509
36	13.619821323385038	0.012422620353774753	nan	nan	nan	nan	5.420356371490281	0.010080880250346749	nan	nan	nan	nan	4.744551344983311	0.009892436387308716	nan	nan	nan	nan	3.1937954054584723	0.00856690165340069	nan	nan	nan	nan	2.5351708226978205	0.007567582611618015	nan	nan	nan	nan	1.8988562733163166	0.006621294725179668	nan	nan	nan	nan	1.4897899077164736	0.005879267779367488	nan	nan	nan	nan	1.1399224425682308	0.005128432914168673	nan	nan	nan	nan	0.8869281366581583	0.004499838613464256	nan	nan	nan	nan	16.60077557431769	0.021193531430141545	nan	nan	nan	nan
37	13.977113108393498	0.012570961866399609	nan	nan	nan	nan	5.545380875202593	0.010252925290057502	nan	nan	nan	nan	4.879450911055449	0.01002797469848236	nan	nan	nan	nan	3.2673984578360593	0.008669725889369453	nan	nan	nan	nan	2.621040223957566	0.007706434715270987	nan	nan	nan	nan	1.9473994401060852	0.0067168584665165095	nan	nan	nan	nan	1.514856834143706	0.0058769959176411014	nan	nan	nan	nan	1.1692696822356465	0.005180032442402942	nan	nan	nan	nan	0.9166298315406906	0.004613268999019713	nan	nan	nan	nan	16.767521241589314	0.021438959234316973	nan	nan	nan	nan
38	14.336844948676392	0.012776179009581102	nan	nan	nan	nan	5.681155149550611	0.01038968575194425	nan	nan	nan	nan	4.988703894700653	0.010147044412264664	nan	nan	nan	nan	3.341952752811748	0.008705474018316863	nan	nan	nan	nan	2.684912332400177	0.007809437062142419	nan	nan	nan	nan	2.0003437945091105	0.006778641605940945	nan	nan	nan	nan	1.5746034084769904	0.006003804371684298	nan	nan	nan	nan	1.2005304258140563	0.005225135785554425	nan	nan	nan	nan	0.9429792249889495	0.0046107611259764035	nan	nan	nan	nan	16.879426354304798	0.021185061725172757	nan	nan	nan	nan
